,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NAV1,-0.044760346,-0.0021014775,4.790669,6.015578,3.0953083,0.034103785,4.799085,5.0246916,0.32815456,-0.014812847,3.3578062,-0.016258944,-0.046050258,1.5811017,-0.04430701,4.1834626
CD63,-0.048476245,-0.004370295,5.1788335,6.6428194,3.6984494,-0.0013397678,5.098252,5.469321,-0.00084140984,-0.020112667,3.4170384,-0.016692324,-0.04546355,1.3021204,-0.04425437,4.7449613
APP,-0.04609776,-0.0029791535,4.972757,6.2568893,3.3434086,0.059645224,4.919359,5.2546916,0.21126084,-0.016482221,3.4745076,-0.016624166,-0.04599448,1.59572,-0.044393018,4.4429145
DEPP1,-0.045148082,-0.003439236,4.7871356,6.2053137,3.2926412,-0.0007395774,4.757852,5.1579304,0.16924767,-0.016391072,3.2988455,-0.01573363,-0.045840994,1.6037976,-0.0441686,4.3642116
UBA7,-0.051702484,-0.0061795115,5.6255803,7.260113,4.1258254,-0.0023683035,5.4989877,5.9290786,-0.0020459553,-0.02251614,3.579758,-0.01754339,-0.047285456,1.3802944,-0.046509936,5.301602
GP9,-0.0490823,-0.0051109814,5.199539,6.7786064,3.7792451,-0.0015522372,5.174476,5.598696,-0.0005696563,-0.020425271,3.5231185,-0.016779732,-0.046796303,1.4855957,-0.045299735,4.853987
MTUS1,-0.048983343,-0.00463575,5.402999,6.7968373,3.839756,-0.0010151442,5.2789783,5.609188,-0.00059484795,-0.01994412,3.5272346,-0.017294673,-0.04528695,1.3354304,-0.04484238,4.9705095
RAG2,-0.021615138,0.434711,2.0359185,2.7304647,0.8492196,0.2589148,2.5668952,2.1318526,1.1539787,0.15849929,1.883477,-0.009251043,-0.032157708,1.4172379,-0.027831802,1.1797239
SSH2,-0.04742718,-0.0037862435,5.239672,6.5139146,3.5721207,0.02233496,5.141524,5.4283957,0.11298016,-0.01777048,3.5188873,-0.01710662,-0.045677263,1.4695499,-0.044582672,4.7141166
GM45837,-0.021707553,0.71166354,1.7156652,2.2001941,0.551878,0.5494517,2.2912977,2.0144217,1.4705511,0.43200636,1.9539931,-0.010400004,-0.031348336,1.6672229,-0.026677446,1.055206
CD69,-0.050527282,-0.0027073813,4.3895206,6.6730213,4.423632,0.5499143,4.3271723,5.19782,0.16067867,-0.014425424,2.803042,-0.0116528915,-0.04720056,0.8608928,-0.04785647,5.063512
HSD3B7,-0.05103265,-0.005595344,5.480793,7.114531,3.973749,-0.0022966666,5.363804,5.8362975,-0.0013528516,-0.021599906,3.538767,-0.017205322,-0.047902573,1.4694188,-0.046701465,5.1350827
CBFB,-0.02356777,0.5463459,2.1906517,2.7355864,0.93372256,0.48032963,2.745324,2.4430788,1.3444946,0.20794407,2.151579,-0.011249455,-0.033492856,1.636545,-0.029144906,1.4614528
JAM2,-0.047707904,-0.0033464143,5.176797,6.4834423,3.539927,-1.5875883e-05,5.0919185,5.4035726,0.084401205,-0.0181935,3.497777,-0.017083155,-0.04556342,1.4287227,-0.04453552,4.6706834
RGS2,-0.04065289,-0.0103711765,4.864458,6.639198,3.5751958,-0.0042076316,4.7847943,5.3745923,-0.0054600774,-0.025709469,2.9455404,-0.017950611,-0.04016785,0.8988693,-0.040843114,5.1030064
E430014B02RIK,-0.021707553,0.71166354,1.7156652,2.2001941,0.551878,0.5494517,2.2912977,2.0144217,1.4705511,0.43200636,1.9539931,-0.010400004,-0.031348336,1.6672229,-0.026677446,1.055206
PDE1B,-0.046814732,-0.007368599,5.3798294,6.574215,4.094309,-0.0020887682,5.3557777,5.292984,0.05404193,-0.017622288,3.0327852,-0.015847012,-0.049505174,1.6686862,-0.04416769,5.1968036
5430427O19RIK,-0.052267723,-0.006522583,5.573005,7.31265,4.1475444,-0.0027299263,5.474735,5.969289,-0.0023619286,-0.023102244,3.5607014,-0.017405415,-0.047980886,1.428524,-0.046764333,5.3361707
PTGS1,-0.047080543,-0.003513207,5.040245,6.4296484,3.4524183,-7.3224866e-05,5.0005507,5.3742805,0.15789044,-0.017305268,3.499029,-0.016695095,-0.04662976,1.6116166,-0.045078296,4.5692453
MYCN,-0.052000657,-0.006577003,5.6307735,7.311814,4.1531577,-0.0026148662,5.4995136,5.965539,-0.0022046764,-0.022806322,3.565123,-0.01741595,-0.047724742,1.422872,-0.04666837,5.349938
ZFP612,-0.04657018,-0.0033549543,4.9491887,6.354848,3.3582351,-0.0006721896,4.9514527,5.2829924,0.19644536,-0.016713673,3.4192111,-0.016438387,-0.046802048,1.608095,-0.045153335,4.471551
NUPR1,-0.04361195,-0.0036276218,4.907798,6.0282707,3.3975945,-0.0002012782,4.795584,4.9632964,0.04612201,-0.016741978,3.1819463,-0.015789261,-0.041511193,1.1182392,-0.040972456,4.35433
DACH1,-0.04671412,-0.0035534268,4.9433885,6.3326893,3.3827233,-0.0007027426,4.9485636,5.2302938,0.13591309,-0.017699726,3.3848472,-0.016341945,-0.046541054,1.474718,-0.044449754,4.3970504
MSMO1,-0.050846312,-0.0060509937,5.545631,7.1196423,4.03632,-0.0019561748,5.4606123,5.833642,-0.0014437956,-0.021880254,3.5733302,-0.017589608,-0.047150984,1.3600019,-0.046106618,5.17823
TIE1,-0.021707553,0.71166354,1.7156652,2.2001941,0.551878,0.5494517,2.2912977,2.0144217,1.4705511,0.43200636,1.9539931,-0.010400004,-0.031348336,1.6672229,-0.026677446,1.055206
ARHGAP15,-0.05185281,-0.006555004,5.6004767,7.287896,4.145023,-0.0025696973,5.4744253,5.956693,-0.0023086444,-0.022925926,3.5506635,-0.017439706,-0.047757443,1.3979204,-0.046624556,5.315193
WFDC17,-0.040441092,-0.0015970734,4.5562844,5.48654,3.0461679,0.1233774,4.482088,4.5358343,0.19474779,-0.013398491,3.041364,-0.014828899,-0.03837973,1.0718794,-0.038097143,3.9801664
FADS1,-0.050806727,-0.0064469604,5.5962973,7.1798515,4.1543007,-0.002788716,5.4458222,5.8383484,-0.0027395044,-0.022970723,3.4950528,-0.017358623,-0.045460146,1.2270558,-0.045131702,5.3057075
ICOS,-0.051269438,-0.0065954085,5.6549926,7.2514305,4.1782484,-0.0027435438,5.486229,5.901565,-0.0025413078,-0.022975743,3.5204597,-0.017490355,-0.046266157,1.3077717,-0.045803376,5.369299
PRDM16,-0.039751805,-0.00028535965,4.425947,5.2313743,2.7512598,0.31597865,4.330567,4.481684,0.44761145,-0.01093903,3.167282,-0.0153049445,-0.04068785,1.4626803,-0.039746832,3.8023024
TCAF1,-0.052058786,-0.0068871025,5.548424,7.326902,4.2048893,-0.003645447,5.4466763,5.9343987,-0.0033846956,-0.024130974,3.4881575,-0.017087495,-0.047098182,1.276885,-0.0461191,5.323271
MPO,-0.0470691,-0.0047001047,4.9474483,6.5254207,3.567658,-0.0018920517,4.917731,5.3734555,0.005411342,-0.018798236,3.3491628,-0.0158483,-0.045630306,1.573021,-0.04431909,4.713684
CPXM1,-0.046331923,-0.003933521,5.164653,6.464426,3.5449724,0.008597139,5.001476,5.3983974,0.13361046,-0.01711043,3.4529216,-0.016589304,-0.045655135,1.5896673,-0.04464766,4.681552
