,TF,Target,Label
0,14,379,1
1,14,116,1
2,14,528,1
3,14,60,1
4,14,326,1
5,14,24,1
6,14,145,1
7,14,195,1
8,14,154,1
9,14,83,1
10,14,262,1
11,14,15,1
12,14,227,1
13,14,245,1
14,14,511,1
15,14,376,1
16,14,162,1
17,14,295,1
18,14,61,1
19,14,230,1
20,14,384,1
21,14,375,1
22,14,201,1
23,14,523,1
24,14,192,1
25,14,123,1
26,14,387,1
27,14,275,1
28,14,17,1
29,14,412,1
30,14,454,1
31,14,553,1
32,14,137,1
33,14,424,1
34,14,179,1
35,14,549,1
36,14,128,1
37,14,6,1
38,14,117,1
39,14,410,1
40,14,281,1
41,14,395,1
42,14,372,1
43,14,95,1
44,14,133,1
45,14,136,1
46,14,490,1
47,14,52,1
48,14,464,1
49,14,512,1
50,14,213,1
51,14,393,1
52,14,216,1
53,14,85,1
54,14,374,1
55,14,434,1
56,14,250,1
57,14,343,1
58,14,309,1
59,14,404,1
60,14,200,1
61,14,508,1
62,14,210,1
63,14,283,1
64,14,272,1
65,14,255,1
66,14,99,1
67,14,470,1
68,14,521,1
69,14,302,1
70,14,440,1
71,14,414,1
72,14,340,1
73,14,385,1
74,14,282,1
75,14,305,1
76,14,34,1
77,14,369,1
78,14,341,1
79,14,265,1
80,14,89,1
81,14,451,1
82,14,21,1
83,14,82,1
84,14,473,1
85,14,57,1
86,14,174,1
87,14,504,1
88,14,478,1
89,14,396,1
90,14,517,1
91,14,182,1
92,14,320,1
93,14,328,1
94,14,214,1
95,14,270,1
96,14,345,1
97,14,180,1
98,14,288,1
99,14,175,1
100,14,203,1
101,14,185,1
102,14,165,1
103,14,301,1
104,14,423,1
105,14,159,1
106,14,519,1
107,14,502,1
108,14,327,1
109,14,556,1
110,14,286,1
111,14,456,1
112,14,443,1
113,14,360,1
114,14,348,1
115,14,541,1
116,14,290,1
117,14,109,1
118,14,29,1
119,14,531,1
120,14,466,1
121,14,55,1
122,14,102,1
123,14,46,1
124,14,10,1
125,14,381,1
126,14,535,1
127,14,253,1
128,14,438,1
129,14,455,1
130,14,75,1
131,14,234,1
132,14,266,1
133,14,151,1
134,14,27,1
135,14,264,1
136,14,500,1
137,14,392,1
138,14,324,1
139,14,84,1
140,14,364,1
141,14,558,1
142,14,30,1
143,14,507,1
144,14,158,1
145,14,330,1
146,14,251,1
147,14,224,1
148,14,482,1
149,14,432,1
150,14,409,1
151,14,550,1
152,14,191,1
153,14,318,1
154,14,239,1
155,14,41,1
156,14,388,1
157,14,131,1
158,14,13,1
159,14,91,1
160,14,496,1
161,14,105,1
162,14,435,1
163,14,499,1
164,14,71,1
165,14,78,1
166,14,331,1
167,14,126,1
168,14,503,1
169,14,119,1
170,14,516,1
171,14,70,1
172,14,278,1
173,14,433,1
174,14,144,1
175,14,462,1
176,14,206,1
177,14,536,1
178,14,69,1
179,14,9,1
180,14,2,1
181,14,247,1
182,14,169,1
183,14,406,1
184,14,371,1
185,14,86,1
186,14,491,1
187,14,170,1
188,14,342,1
189,14,65,1
190,14,26,1
191,14,524,1
192,14,417,1
193,14,329,1
194,14,248,1
195,14,229,1
196,14,35,1
197,14,477,1
198,14,261,1
199,14,498,1
200,14,468,1
201,14,44,1
202,14,241,1
203,14,532,1
204,14,114,1
205,14,256,1
206,14,484,1
207,14,398,1
208,14,246,1
209,14,93,1
210,14,317,1
211,14,194,1
212,14,373,1
213,14,391,1
214,14,472,1
215,14,368,1
216,14,39,1
217,14,304,1
218,14,223,1
219,14,357,1
220,14,178,1
221,14,217,1
222,14,513,1
223,14,336,1
224,14,8,1
225,14,506,1
226,14,415,1
227,71,187,1
228,71,274,1
229,71,167,1
230,71,169,1
231,71,135,1
232,71,288,1
233,71,409,1
234,71,195,1
235,71,149,1
236,71,408,1
237,71,49,1
238,71,462,1
239,71,308,1
240,71,84,1
241,71,332,1
242,71,154,1
243,71,278,1
244,71,353,1
245,71,472,1
246,71,130,1
247,71,397,1
248,71,558,1
249,71,528,1
250,71,391,1
251,71,283,1
252,71,132,1
253,71,341,1
254,71,450,1
255,71,395,1
256,71,94,1
257,71,228,1
258,71,549,1
259,71,396,1
260,71,27,1
261,71,76,1
262,71,390,1
263,71,248,1
264,71,29,1
265,71,555,1
266,71,238,1
267,71,446,1
268,71,302,1
269,71,400,1
270,71,492,1
271,71,323,1
272,71,349,1
273,71,93,1
274,71,441,1
275,71,221,1
276,71,275,1
277,71,336,1
278,71,523,1
279,71,163,1
280,71,279,1
281,71,318,1
282,71,456,1
283,71,512,1
284,71,2,1
285,71,533,1
286,71,412,1
287,71,529,1
288,71,13,1
289,71,509,1
290,71,488,1
291,71,186,1
292,71,115,1
293,71,438,1
294,71,55,1
295,71,300,1
296,71,416,1
297,71,417,1
298,71,483,1
299,71,173,1
300,71,262,1
301,71,256,1
302,71,203,1
303,71,230,1
304,71,362,1
305,71,404,1
306,71,531,1
307,71,219,1
308,71,280,1
309,71,191,1
310,71,357,1
311,71,478,1
312,71,259,1
313,71,343,1
314,71,376,1
315,71,330,1
316,71,392,1
317,71,63,1
318,71,229,1
319,71,39,1
320,71,299,1
321,71,81,1
322,71,183,1
323,71,426,1
324,71,261,1
325,71,117,1
326,71,497,1
327,71,466,1
328,71,486,1
329,71,424,1
330,71,184,1
331,71,243,1
332,71,253,1
333,71,470,1
334,71,548,1
335,71,225,1
336,71,375,1
337,71,401,1
338,71,344,1
339,71,485,1
340,71,495,1
341,71,65,1
342,71,281,1
343,71,202,1
344,71,526,1
345,71,140,1
346,71,496,1
347,71,106,1
348,71,79,1
349,71,133,1
350,71,500,1
351,71,505,1
352,71,354,1
353,71,236,1
354,71,242,1
355,71,331,1
356,71,83,1
357,71,216,1
358,71,68,1
359,71,477,1
360,71,372,1
361,71,8,1
362,71,201,1
363,71,74,1
364,71,440,1
365,74,493,1
366,74,415,1
367,74,439,1
368,74,285,1
369,74,96,1
370,74,410,1
371,74,553,1
372,74,300,1
373,74,343,1
374,74,431,1
375,74,315,1
376,74,57,1
377,74,49,1
378,74,189,1
379,74,291,1
380,74,423,1
381,74,40,1
382,74,146,1
383,74,309,1
384,74,204,1
385,74,519,1
386,74,298,1
387,74,451,1
388,74,437,1
389,74,114,1
390,74,326,1
391,74,457,1
392,74,270,1
393,74,277,1
394,74,377,1
395,74,121,1
396,74,456,1
397,74,421,1
398,74,250,1
399,74,400,1
400,74,485,1
401,74,166,1
402,74,494,1
403,74,436,1
404,74,222,1
405,74,414,1
406,74,165,1
407,74,14,1
408,74,361,1
409,74,214,1
410,74,265,1
411,74,119,1
412,74,490,1
413,74,363,1
414,74,70,1
415,74,140,1
416,74,50,1
417,74,308,1
418,74,188,1
419,74,15,1
420,74,549,1
421,74,338,1
422,74,514,1
423,74,143,1
424,74,212,1
425,74,430,1
426,74,34,1
427,74,85,1
428,74,191,1
429,74,296,1
430,74,349,1
431,74,183,1
432,74,448,1
433,74,489,1
434,74,158,1
435,74,534,1
436,74,154,1
437,74,101,1
438,74,2,1
439,74,502,1
440,74,378,1
441,74,164,1
442,74,11,1
443,74,452,1
444,74,388,1
445,74,128,1
446,74,385,1
447,74,208,1
448,74,302,1
449,74,504,1
450,74,364,1
451,74,455,1
452,74,108,1
453,74,223,1
454,74,221,1
455,74,360,1
456,74,210,1
457,74,525,1
458,74,26,1
459,74,255,1
460,74,373,1
461,74,558,1
462,74,367,1
463,74,276,1
464,74,200,1
465,74,148,1
466,74,252,1
467,74,304,1
468,74,471,1
469,74,32,1
470,74,71,1
471,74,0,1
472,74,178,1
473,74,59,1
474,74,264,1
475,74,117,1
476,74,467,1
477,74,249,1
478,74,449,1
479,74,192,1
480,74,297,1
481,74,454,1
482,74,322,1
483,74,473,1
484,74,383,1
485,74,3,1
486,74,477,1
487,74,262,1
488,74,369,1
489,74,97,1
490,74,293,1
491,74,397,1
492,74,329,1
493,74,156,1
494,74,371,1
495,74,418,1
496,74,484,1
497,97,237,1
498,97,265,1
499,97,145,1
500,97,295,1
501,97,39,1
502,97,412,1
503,97,554,1
504,97,91,1
505,97,410,1
506,97,389,1
507,97,463,1
508,97,300,1
509,97,204,1
510,97,114,1
511,97,197,1
512,97,157,1
513,97,30,1
514,97,550,1
515,97,285,1
516,97,401,1
517,97,445,1
518,97,405,1
519,97,107,1
520,97,55,1
521,97,540,1
522,97,146,1
523,97,84,1
524,97,76,1
525,97,376,1
526,97,148,1
527,97,479,1
528,97,459,1
529,97,35,1
530,97,382,1
531,97,296,1
532,97,473,1
533,97,309,1
534,97,328,1
535,97,509,1
536,97,406,1
537,97,298,1
538,97,393,1
539,97,440,1
540,97,475,1
541,97,279,1
542,97,79,1
543,97,556,1
544,97,346,1
545,97,143,1
546,97,549,1
547,97,245,1
548,97,470,1
549,97,207,1
550,97,368,1
551,97,392,1
552,97,29,1
553,97,529,1
554,97,466,1
555,97,330,1
556,97,286,1
557,97,215,1
558,97,434,1
559,97,380,1
560,97,480,1
561,97,344,1
562,97,367,1
563,97,213,1
564,97,320,1
565,97,512,1
566,97,431,1
567,97,276,1
568,97,415,1
569,97,546,1
570,97,522,1
571,97,404,1
572,97,151,1
573,97,119,1
574,97,366,1
575,97,430,1
576,97,496,1
577,97,101,1
578,97,435,1
579,97,19,1
580,97,532,1
581,97,454,1
582,97,118,1
583,97,208,1
584,97,499,1
585,97,188,1
586,97,54,1
587,97,88,1
588,97,260,1
589,97,493,1
590,97,71,1
591,97,14,1
592,97,407,1
593,97,57,1
594,97,422,1
595,97,21,1
596,97,364,1
597,97,6,1
598,97,234,1
599,97,414,1
600,97,45,1
601,97,467,1
602,97,284,1
603,97,218,1
604,97,365,1
605,97,51,1
606,97,514,1
607,97,534,1
608,97,375,1
609,97,87,1
610,97,202,1
611,97,9,1
612,97,437,1
613,97,348,1
614,97,355,1
615,97,349,1
616,97,222,1
617,97,117,1
618,97,24,1
619,97,116,1
620,97,167,1
621,97,205,1
622,97,351,1
623,97,268,1
624,97,528,1
625,97,516,1
626,97,81,1
627,97,52,1
628,97,524,1
629,97,312,1
630,97,8,1
631,97,489,1
632,97,451,1
633,97,311,1
634,97,11,1
635,97,89,1
636,97,515,1
637,97,189,1
638,97,519,1
639,97,305,1
640,97,421,1
641,97,492,1
642,97,486,1
643,97,326,1
644,97,46,1
645,97,22,1
646,97,384,1
647,97,363,1
648,97,416,1
649,97,504,1
650,97,206,1
651,97,99,1
652,97,121,1
653,97,96,1
654,97,109,1
655,97,253,1
656,97,129,1
657,97,86,1
658,97,457,1
659,97,531,1
660,97,240,1
661,97,113,1
662,97,209,1
663,97,10,1
664,97,270,1
665,97,508,1
666,97,210,1
667,97,236,1
668,97,500,1
669,97,523,1
670,97,172,1
671,97,423,1
672,97,180,1
673,97,452,1
674,97,272,1
675,97,60,1
676,97,108,1
677,97,255,1
678,97,428,1
679,97,558,1
680,97,41,1
681,97,371,1
682,97,488,1
683,97,246,1
684,97,277,1
685,97,136,1
686,97,275,1
